TimeSeriesID,BusinessType,ControlArea,SettlementDate,SettlementPeriod,ImbalanceQuantityMAW,CurveType,Resolution,DocumentType,ProcessType,ActiveFlag,DocumentStatus,DocumentID,DocumentRevNum,ImbalanceQuantityDirection
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,27,118.927,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28482205,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,28,197.2536,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28482367,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,29,40.5789,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28482494,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,30,196.3174,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28482658,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,31,119.9632,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28482790,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,32,245.8069,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28482950,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,33,366.2918,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28483087,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,34,548.2357,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28483269,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,35,121.5276,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28483400,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,36,280.9669,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28483554,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,37,424.3229,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28483659,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,38,205.6563,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28483842,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,39,374.4192,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28483942,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,40,344.8185,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28484065,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,41,251.664,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28484212,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,42,498.3359,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28484341,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,43,743.1978,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28484444,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,44,525.3334,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28484574,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,45,265.3686,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28484674,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,46,-20.1991,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28484799,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,47,-196.6967,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28484903,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-02-06,48,-85.311,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-28485036,1,DEFICIT
