DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-28480151,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,47.42,14,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28480291,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,190,15,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28480291,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,190,15,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28480448,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,190,16,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28480448,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,190,16,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28480609,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,205,17,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28480609,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,205,17,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28480810,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,207,18,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28480810,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,207,18,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28480952,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,204,19,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28480952,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,204,19,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28481118,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,204,20,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28481118,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,204,20,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28481254,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,203,21,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
