*DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-28465554,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,131.05,15,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28465554,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,131.05,15,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28465697,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,199.84,16,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28465697,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,199.84,16,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28465846,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,131,17,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28465846,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,131,17,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28466017,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,131,18,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28466017,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,131,18,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28466151,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,235,19,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28466151,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,235,19,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28466343,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,235,20,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28466343,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,235,20,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28466546,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,250.5,21,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28466546,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,250.5,21,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28466685,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,132.5,22,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28466685,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,132.5,22,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28466843,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,131.55,23,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28466843,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,131.55,23,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28467042,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,130,24,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28467042,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,130,24,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28467200,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,131,25,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28467200,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,131,25,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28467347,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,68,26,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28467347,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,68,26,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28467480,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,206.5,27,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28467480,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,206.5,27,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28467637,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,101,28,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28467637,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,101,28,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28467780,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,131,29,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28467780,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,131,29,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28467988,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,130,30,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28467988,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,130,30,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28468157,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,130,31,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28468157,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,130,31,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28468326,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,132.5,32,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28468326,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,132.5,32,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28468468,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,229.9,33,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28468468,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,229.9,33,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28468643,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,133,34,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28468643,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,133,34,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28468799,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,223,35,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28468799,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,223,35,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28468932,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,229.9,36,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28468932,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,229.9,36,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28469057,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,223,37,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28469057,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,223,37,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28469225,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,229,38,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28469225,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,229,38,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28469339,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,229,39,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28469339,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,229,39,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28469494,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,134.75,40,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28469494,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,134.75,40,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28469615,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,210,41,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28469615,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,210,41,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28469733,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,134.75,42,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28469733,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,134.75,42,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
